"year","geo_id","crop_id","average_temperature","total_precipitation","co2_emmissions","crop_yield","extreme_weather_events","irrigation_access","pesticide","fertilizer","soil_health_index","adaptation_id","economic_impact"
"2012","20","8","8.67","1367.93","14.02","1.25","4","14.93","9.36","6.16","96.13","4","358.95"
"1991","14","7","15.93","2758.27","21.55","1.62","4","31.67","45.86","23.09","30.27","4","555.31"
"1991","17","1","-4.64","2040.78","18.51","1.242","4","53.51","18.62","1.97","93.75","4","143"
"1991","13","4","31.24","1109.2","18.55","3.276","0","34.66","5.5","37.25","39.37","3","772.48"
"2002","4","10","22.69","1932.64","7.08","1.51","1","11.76","47.2","24.65","59.43","3","473.09"
"1998","20","5","5.3","1446.93","11.12","2.57","4","78.46","0.24","78.52","42.46","4","653.34"
"2022","22","3","19.03","1492.89","7.24","2.14","5","72.81","38.15","12.31","54.22","1","317.51"
"2004","23","6","20.65","519.87","4.55","2.53","5","40.28","2.41","54.88","61.9","3","451.93"
"1999","13","1","15.54","2917.8","29.81","1.737","5","60.04","34.35","4.49","62.84","4","413.61"
"2008","10","10","17.74","2212.72","19.18","4.23","1","51.64","23.5","39.38","90.39","3","762.37"
"1998","7","7","34.25","624.36","16.86","3.231","8","20.92","3.98","84.6","43.96","1","1477.16"
"2011","20","1","34.25","2459.85","18.39","2.259","0","51.26","32.87","31.21","52.17","5","885.91"
"2022","7","8","28.4","1691.65","5.15","2.37","4","99.8","11.11","93.09","51.8","4","516.51"
"2017","34","4","-0.21","2156.32","8.65","1.39","3","31.88","41.01","4.48","87.36","1","329.67"
"2004","39","7","21.19","341.66","24.81","1.278","1","60.66","4.32","67.26","60.49","1","399.54"
"1990","2","6","3.6","2789.27","19.98","1.944","7","26.58","3.03","47.72","89.95","5","422.57"
"2021","6","10","23.32","1291.86","20.45","2.124","4","57.48","11.39","1.96","52.18","5","480.25"
"1993","7","2","23.53","2832.1","26.22","1.278","8","67.9","5.73","9.5","80.7","1","408.82"
"2004","39","1","27.09","2274.65","4.71","2.92","5","92.43","17.63","2.6","71.98","2","1291.27"
"2012","26","8","32.8","2259.84","19.72","0.873","3","80.43","17.48","9.35","49.17","2","258.69"
"2003","23","1","11.51","813.11","9.62","3.2","1","59.87","8.01","90.49","56.64","3","452.97"
"2010","22","7","11.49","2562.84","23.76","2.178","3","55.7","27.73","26.04","87.64","5","439.12"
"1992","11","4","8.97","882.62","29.08","0.909","2","19.16","43.57","49.75","51.73","3","292.81"
"1995","1","3","-3.96","1176.38","15.1","0.936","4","67.3","7.33","30.78","80.1","1","277.63"
"2003","26","5","9.64","1448.23","29.62","2.592","7","96.63","41.34","56.08","50.91","4","350.35"
"2020","13","4","13.35","304.64","16.12","3.924","8","34.77","33.29","44.96","74.67","4","1864.02"
"1995","15","3","33.76","1446.6","11.56","4","10","67.18","20.41","46.97","49.94","3","1231.99"
"2017","30","4","9.55","2600.49","6.56","1.5","5","98.38","38.15","66.12","44.11","4","225.8"
"2011","28","8","32.59","2966.16","20.73","3.33","6","24.97","27.38","48.71","91.79","2","336.31"
"1993","17","7","8.88","1926.65","23.12","0.882","1","39.61","27.47","63.5","93.85","1","166.05"
"2023","24","9","34.4","583.69","26.17","3.384","3","42.27","10.85","94.19","46.34","3","556.15"
"2011","38","8","32.25","1767.74","13.1","0.92","8","70.61","14.56","87.68","30.93","3","152.41"
"1999","24","2","-1.47","2430.64","28.24","2.457","1","89.34","10.23","70.36","46.11","5","873.92"
"2000","13","10","17.18","574.4","14.13","1.66","0","24.78","45.32","46.25","38.65","4","581.35"
"1996","12","4","29.79","2642.22","24.02","2.4480000000000004","5","15.54","6.82","58.15","52.43","3","1087.66"
"2018","4","8","28.54","2732.78","29.52","3.078","9","43.37","23.81","32.96","55.6","5","1519.4"
"2002","3","1","1.55","2676.48","27.13","2.259","5","41.7","13.69","56.02","99.73","4","907.99"
"1993","2","9","13.46","985.17","12.4","3.57","9","69.52","16.51","54.71","82.95","4","847.48"
"2014","33","10","28.92","1802.49","10.13","2.5","1","96.3","41.75","41.66","78.21","5","1092.06"
"1990","9","8","25.11","2829.62","16.8","0.9","1","63.89","33.77","94.56","51.92","2","295.99"
"1997","13","1","16.13","992.6","23.07","2.7","4","10.21","11.55","58.49","92.42","3","335.23"
"2013","25","6","3.98","297.09","13.88","0.5760000000000001","9","10.18","8.24","78.69","98.91","4","186.08"
"2021","33","4","29.15","2326.94","22.34","1.332","4","13.06","14.34","92.5","36.85","5","232.64"
"2022","40","5","10.29","1665.74","26.86","4.149","5","17.82","41.37","4.65","56.38","5","1190.55"
"1998","29","7","24.34","941.17","25.46","3.204","0","46.06","37.16","58.82","31.14","1","1499.35"
"1998","13","9","3.7","1925.45","21.02","2.367","6","42.71","10.5","51.02","75.44","2","913.07"
"1991","21","10","3.24","2720.53","24","1.2060000000000002","3","83.8","28.41","55.43","43.89","4","586.68"
"2018","5","5","16.04","1180.2","15.61","3.5010000000000003","1","63.82","21.44","46.97","77.25","1","599.86"
"1993","14","5","4.77","2516.3","13.46","2.03","10","42.64","20.22","81.55","93.36","5","863.99"
"2009","30","1","7.59","2157.28","25.89","1.89","2","42.22","49.52","77.58","86.98","1","426.98"
"2024","23","9","31.96","229.81","11.25","2.241","7","35.64","1.12","4.67","49","1","495.43"
"1996","30","6","34.76","247.44","8.42","2.52","2","52.69","6.56","10.86","56.99","1","837.28"
"2010","21","5","4.96","1668.11","0.71","2.13","8","52.93","17.89","4.67","93.75","3","481.82"
"2023","5","4","-0.44","2879.03","6.58","1.43","9","70.56","19.53","33.9","91.04","3","226.76"
"2001","3","10","19.2","529.26","17.76","2.007","10","72.43","5.83","18.19","94.88","3","640.88"
"1994","31","5","1.36","344.26","29.45","1.7009999999999998","10","73.72","34.25","77.88","77.05","1","452.33"
"2018","38","7","12.64","484.8","14.71","2.898","3","70.68","36.22","86.79","86.23","5","810.69"
"2022","34","2","18.8","1261.62","6.68","4.87","6","53.17","37.58","48.45","85.18","1","1547.07"
"2021","20","8","23.43","786.27","19.1","1.161","9","12.19","1.59","95.51","59.11","5","128.27"
"1990","19","10","1.6","1340.3","26.18","2.511","3","99.25","12.53","84.01","70.35","4","546.53"
"2005","15","3","32.03","2188.04","14.07","0.81","6","98.35","17.37","2","77.85","2","320.25"
"2018","14","1","25.76","1406.84","1.59","1.92","1","45.05","21.66","62.14","92.98","1","932.2"
"1999","7","1","2.42","478.83","4.86","1.404","4","75.37","41.05","98.98","63.28","2","471.43"
"2014","17","9","-2.88","1768.36","1.93","2.28","10","63.2","36.57","3.99","61.15","4","1062.19"
"2005","34","4","8","2106.72","19.58","1.314","0","36.9","42.24","32.05","88.4","3","334.28"
"2015","33","3","31.41","2303.14","28.68","2.232","4","49.91","46.74","26.21","98.35","2","645.74"
"2003","6","8","19.68","2796.61","26.57","4.392","6","29.07","25.34","72.08","87.52","2","653.75"
"2004","39","8","19","2591.75","9.21","3.17","8","88.76","9.19","73.12","51.02","3","1240.99"
"2016","32","7","19.18","721.4","10.31","2.45","9","96.32","26.06","30.61","51.93","4","477.57"
"2011","15","7","3.63","1770.91","12.4","0.94","9","62.26","28.28","83.98","88.08","2","115.84"
"1998","25","9","5.84","522.5","7.72","1.4","2","15.41","43.6","48.68","38.01","2","629.71"
"2011","23","10","9.23","608.86","18.84","2.4480000000000004","3","35.32","11.81","35.69","59.81","1","1146.78"
"2009","4","2","-1.97","1580.29","20.4","1.755","1","86.99","14.26","33.58","40.1","4","537.35"
"1997","14","7","34.75","2272.05","24.64","2.934","9","68.75","31.16","38.53","97.49","2","1167.84"
"1999","35","8","1.41","2693.57","27.9","1.215","6","49.75","33.51","52.47","52.01","2","249.73"
"2014","5","9","10.21","1182.99","23.65","1.503","0","84.94","22.13","10.87","86.75","3","155.89"
"1995","30","1","17.5","1934.47","20.3","2.763","3","57.53","48.06","94.62","34.52","2","1188.54"
"2006","25","1","6.33","1769.14","26.98","1.476","7","24.31","0.7","31.96","42.17","2","188.36"
"2012","39","6","29.79","1508.89","29.82","2.25","4","43.12","49.8","16.13","65.17","3","293.76"
"1990","34","6","34.78","1103.53","8.05","1.2","9","95.71","9.66","18.72","85.83","3","540.27"
"1991","22","9","18.27","1892.77","25.54","2.088","6","72.08","16.45","79.76","72.1","4","416.84"
"2020","26","4","5.01","2397.23","2.66","1.55","6","95.23","44.83","39.34","89.57","1","665.97"
"2003","7","7","14.37","1230.78","24.22","2.745","4","72.15","45.11","75.77","38.21","4","913.84"
"2012","34","8","-3.28","443.77","7.31","0.558","9","90.95","11.76","52.05","55.64","4","270.4"
"2020","13","10","25.39","1201.81","20.58","2.736","4","73.04","8.96","59.02","34.02","2","1078.87"
"2001","35","1","11.15","890.49","6.42","3.26","0","66.01","19.98","55.44","85.74","4","988.05"
"2000","24","2","25.2","1376.49","23.75","1.584","3","51.1","17.33","85.9","46.38","2","375.24"
"2010","40","9","25.77","1101.29","7.05","2.98","10","26.38","40.92","30.06","90.12","5","1359.56"
"1998","36","4","-4.35","1300.41","12.03","1.24","5","17.03","6.43","94.39","30.66","2","269.27"
"1997","1","8","1.5","1307.38","7.22","2.76","1","58.19","11.92","53.59","97.95","3","503"
"2000","27","6","3.77","317.92","13.7","2.259","0","18.34","10.25","60.39","99.53","1","585.76"
"2019","39","5","18.44","2679.22","17.86","3.834","0","10.79","40","0.3","34.87","2","811.29"
"2023","28","5","10.03","1420.33","3.54","3.9","0","86.71","15.37","21.32","54.04","2","1856.35"
"2001","20","7","22.95","2732.01","14.03","1.16","10","35.22","19.95","84.4","87.13","5","226.03"
"1997","19","3","8.04","1030.95","17.27","1.314","5","27.95","16","36.97","63.56","5","240.09"
"2023","9","3","23.28","586.62","2.76","2.72","4","75.79","36.57","92.27","81.24","4","584.26"
"1999","15","3","12.54","1233.5","24.84","2.763","4","40.55","16.18","62.47","34.39","5","503.07"
"2008","19","9","-0.09","1130.79","1.59","1.31","1","57.51","17.61","48.24","36.05","2","394.33"
"2010","15","1","28.93","2711.06","12.47","1.69","6","25.64","3.56","60.76","33.99","3","499.59"
"2015","36","4","27.08","2620.81","11.81","3.57","3","86.76","9.39","51.6","66.79","3","1589.01"
"2009","10","7","29.24","1069.15","9.37","3.27","7","67.5","23.66","67.46","82.28","4","473.78"
"2017","39","1","10.31","2698.13","21.87","2.493","10","73.71","5.12","81.45","84.3","3","573.45"
"2022","7","8","10.38","1423.59","12.47","3.56","1","11.07","35.41","53.79","84.86","3","1681.57"
"1993","23","8","5.09","2783.75","12.44","1.45","7","55.12","30.57","97.17","92.31","3","228.99"
"1994","22","5","27.68","2056.56","23.25","2.484","9","11.47","7.02","51.07","70.79","4","1203.4"
"2021","19","5","30.19","2902.26","22.8","2.232","2","37.02","32.07","43.09","55.68","5","1004.52"
"2005","8","4","14.58","1367.84","16.55","4.284","3","92.98","37.27","8.65","67.57","3","2061.45"
"1999","35","9","18.1","1870.7","28.18","2.763","3","71.85","44.72","52.33","64.19","5","1373.22"
"2003","9","1","26.8","1727.28","29.92","2.853","3","15.88","20.09","17.68","39.54","1","323.35"
"1996","14","8","32.68","2770.96","3.05","3.54","8","12.16","47.17","30.83","49.84","3","1575.88"
"2006","36","5","15.06","907.06","5.55","4.32","4","62.44","1.89","78.25","69.73","4","739.14"
"2011","24","7","19.55","1033.03","7.95","4.39","0","15.07","45.11","47.93","87.63","4","781.9"
"2008","10","8","12.86","507.65","18.59","1.368","1","64.75","14.38","51.48","62.07","1","165.32"
"1998","4","6","13.08","2957.71","18.01","2.754","10","31.09","14.34","60.83","36.11","4","666.65"
"2024","33","7","-2.83","2985.78","8.15","1.43","6","79.55","37.52","56.24","57.82","3","156.65"
"2016","12","9","20.51","2516.31","9.48","3.85","4","17.76","4.65","53.63","77.1","5","1099.43"
"2008","19","7","14.71","2745.21","7.87","3.61","10","85.82","35.31","71.56","69.94","3","774.46"
"2010","38","2","16.87","260.99","17.7","3.195","10","79.81","13.82","23.67","73.38","2","1059.89"
"1991","10","8","18.41","2998.72","8.21","3.22","6","60.21","20.02","31.46","96.23","3","1305.61"
"2012","10","7","3.95","1010.65","21.09","0.9","2","89.13","45.1","50.38","45.96","4","237.79"
"2018","13","8","0.23","2330.25","21.17","1.647","5","14.62","3.12","57.77","59.62","2","725.05"
"2000","8","3","-3.24","1513.59","21.62","0.531","10","72.51","36.76","99.83","71.63","5","135.74"
"2018","3","2","-3.95","396.69","12.84","1.719","3","90.62","46.64","46.46","65.69","4","748.6"
"2016","9","4","6.07","2159.83","28.97","0.468","0","64.32","42.92","34.82","88.55","1","136.26"
"2006","27","6","3.52","1009.8","19.37","1.395","0","15.71","47.84","59.36","80.06","3","346.24"
"1992","30","3","18.8","2912.46","25.83","2.079","0","90.98","40.07","29.17","93.57","3","828.85"
"2023","16","2","5.96","976.3","21.1","2.25","1","23.77","32.37","86.48","67.13","5","639.01"
"2011","34","9","7.72","1448.96","1.16","0.82","10","51.55","5.29","25.12","46.29","3","178.34"
"1991","1","6","-1.4","2771.04","26.67","1.845","3","13.13","5.76","64.97","92.64","5","195.34"
"2009","7","10","4.01","794.1","26.02","1.692","6","27.67","6.95","60","94.91","3","706.93"
"2005","11","2","20.68","2988.23","0.82","1.35","2","76.59","33.78","66.99","79.5","5","604.43"
"1995","32","6","26.83","2514.87","14.05","0.94","0","55.49","13.29","48.98","55.31","1","146.4"
"2017","21","10","23.58","1292.46","20.3","3.276","1","41.61","37","98.21","37.6","2","1493.02"
"1999","35","9","20.43","2394.99","13.71","2.88","9","21.91","29.9","39.6","46.69","2","837.25"
"2019","9","3","29.1","1814.37","22.75","3.006","0","74.65","49.99","46.46","95","4","1132.98"
"2004","14","7","10.83","1297.79","29.66","3.708","7","72.24","23.15","29.97","80.95","1","924.51"
"2021","23","8","22.33","2060.84","20.14","0.972","1","98.92","39.36","59.38","70.56","4","381.17"
"2009","19","9","13.95","1098.07","14.05","3.27","8","41.85","30.27","25.5","53.54","3","992.36"
"2012","28","10","16.11","398.91","15.33","2.052","5","29.3","22.88","85.25","70.6","2","936.21"
"1999","18","5","11.48","2618.1","18.74","4.3740000000000006","3","98.86","10.64","28.43","85.51","3","2093.93"
"1997","39","10","13.17","2365.06","17.09","2.313","3","61.76","21.79","27.79","83.39","3","640.27"
"2000","32","5","27.91","1336.73","25.72","1.431","9","64.62","49.3","90.93","41.29","1","383.31"
"2011","14","7","10.43","1800.53","13.88","2.75","0","30.23","28.89","41.09","67.96","1","354.35"
"2022","35","7","8.72","2952.33","2.33","1.85","10","85.76","42.34","61.34","98.3","1","616.6"
"2010","21","6","9.43","1861.13","2.88","0.83","1","97.86","36.13","57.51","99.21","4","138.01"
"2001","25","4","16.22","2448.7","27.09","4.4910000000000005","10","33.43","42.51","2.98","63.95","5","1543.47"
"2012","8","1","11.4","1852.43","3.94","3.23","7","43","46.46","82.36","44.08","5","1129.98"
"2018","18","5","22.19","1696.67","19.82","1.782","8","51.45","9.99","55.11","52.22","5","435.72"
"2023","17","5","27.61","2093.53","21.3","1.935","0","93.46","29.99","80.24","94.4","4","288.42"
"2015","18","8","22.63","2525.43","6.45","3.22","5","39.23","30.72","4.95","39.47","4","1184.37"
"2018","25","10","26.35","552.45","5.08","2.87","9","30.22","47.26","76.26","69.05","4","731.9"
"1998","20","9","29.89","1819.96","7.32","3.77","6","95.83","6.66","16.6","65.64","2","1767.46"
"2016","38","4","10.45","800.02","19.32","3.933","4","92.02","1.69","73.58","48.19","2","1603.57"
"1990","27","3","27.61","1054.6","29.79","2.646","10","16.76","3.61","35.97","61.74","2","1258.94"
"2008","40","3","30.29","2032.25","25.31","1.107","3","17.63","4.82","74.05","50.84","1","309.24"
"2000","20","8","12.85","1856.4","0.85","3.36","7","18.77","2.58","13.05","67.64","4","549.03"
"1997","30","3","16.82","1417.94","5.23","3.49","9","87.22","6.06","60.17","42.91","3","718.67"
"2013","9","2","32.47","354.71","21.87","1.4580000000000002","0","45.41","43.48","96.99","77.85","1","536.51"
"2000","6","1","10.14","1982.23","3.33","4.89","7","36.24","29.18","8.57","72.18","1","1037.39"
"2001","15","6","25.08","2640.72","3.5","3.12","3","64.97","0.3","34.36","54.81","5","809.04"
"2012","10","7","-4.55","755.18","29.69","0.909","7","42.4","6.89","33.29","86.72","1","207.25"
"1990","26","4","34.21","2920.36","4.82","0.93","9","71.79","32.6","23.86","86.36","3","234.98"
"1993","28","9","13.12","1076.02","5.28","2.26","7","47.1","0.32","23.72","81.99","2","758.72"
"2010","28","8","1.53","971.06","22.39","0.846","0","25.03","20.17","49.05","32.53","5","116.62"
"1990","15","10","28.96","678.67","15.71","3.339","10","58.16","24.08","23.06","96.01","4","1007.35"
"1998","30","9","10.45","558.1","21.19","1.872","0","78.4","37.8","84.72","73.74","1","486.09"
"2003","15","2","24.93","1287.61","5.16","2.42","10","20.72","14.57","25.85","76.53","2","862.57"
"1990","38","9","18.63","281.45","7.59","4.275","3","10.04","46.9","40.18","82.79","2","1798.09"
"2021","35","7","15.69","2015.28","2.13","3.13","0","15.06","16.6","46.63","38.22","4","1321.02"
"1999","30","10","28.82","2360.85","17.05","2.565","8","42.03","4.05","8.72","49.44","4","1021.93"
"1997","20","8","32.84","2134.31","12.86","2.9","5","93.27","43.09","45.2","58.64","3","443.67"
"1999","13","6","11.49","1918.84","8.66","1.82","1","26.32","48.17","34.99","62.55","5","814.31"
"1991","10","4","16.91","586.58","3.51","2.32","8","24.03","47","60.33","38.12","2","711.28"
"2003","17","3","5.91","340.89","17.1","0.801","8","21.74","19.33","25.9","46.09","3","118.46"
"2011","38","2","-2.9","2454.67","15.41","1.161","3","55.19","34.83","13.19","45.72","5","535.16"
"2015","29","1","32.53","987.02","27.28","2.4480000000000004","8","41.76","26.15","77.99","92.37","5","768.44"
"2014","10","6","15.67","2698.2","2.76","3.32","1","48.03","29.22","39.06","67.64","3","1103.82"
"2019","24","10","16.44","1902.88","20.89","2.106","1","33.66","30.01","92.58","39.11","2","997.44"
"2017","26","5","21.52","1329.7","9.62","2.91","9","50.35","40.82","32.24","34.8","2","874.24"
"2006","39","8","7.29","300.34","19.76","2.574","10","29","36.86","2","60.4","1","653.65"
"2000","26","4","34.01","366.1","10.02","2.826","3","92.56","38.06","15.84","36.88","4","1350.86"
"2002","4","2","3.3","2164.83","3.73","1.63","7","62.72","13.18","34","80.15","5","625.98"
"2003","16","2","9.06","761.18","3.6","1.27","1","64.34","18.87","71.16","82.53","2","367.25"
"2021","22","8","20.63","2274.36","18.19","2.763","4","96.78","9.1","57.76","98.95","2","1159.52"
"2011","3","2","29.24","929.29","22.03","1.503","3","41.02","15.42","92.27","71.46","1","309.58"
"2007","7","4","16.8","1491.29","4.55","3.42","10","47.14","23.91","51.57","82.6","3","1259.54"
"1994","8","10","6.05","2993.87","28.08","2.385","5","58.56","24.54","19.99","87.32","3","794.86"
"2000","12","10","31.02","2147.14","24.96","3.492","1","86.57","28.21","56.63","84.3","1","1491.5"
"2007","10","8","-3.24","2260.54","20.23","2.295","2","22.83","3.17","23.63","33.17","4","584.04"
"2018","9","7","-4.31","2371.19","4.8","2.93","3","42.06","26.77","64.16","33.14","5","459.21"
"2001","9","4","24.57","2863.51","1.03","2.94","6","88.56","22.99","45.48","48.63","3","510.52"
"2020","25","1","21.22","2799.48","27.79","1.845","8","71.27","47.47","36.78","42.56","3","503.69"
"1999","1","2","16.57","1359.42","4.58","3.62","5","64.44","13.12","83.1","40.95","3","1480"
"2021","30","9","-2.02","1164.61","15.82","0.81","9","50.18","41.31","54.22","39.81","2","227.76"
"2023","40","9","22.76","1604.26","19.82","0.945","3","12.27","35.38","49.83","75.42","5","402.73"
"2012","26","2","30.03","1080.6","11.71","3.62","0","19.7","40.61","87.68","41.6","5","987.18"
"2012","12","9","5.27","612.21","10.37","1.35","0","81.29","39.09","85.9","96.11","2","181.74"
"2004","5","1","2.95","2733.81","9.61","1.46","7","66.48","12.84","19.18","62.23","4","362.93"
"2016","13","5","32.93","2457.49","4.63","3.94","6","63.87","33.82","29.49","43.49","2","739.3"
"2004","12","2","16.47","1629.3","6.66","4","7","21.84","48.21","93.7","81.2","2","964.3"
"2004","3","4","11.9","656.69","18.52","2.7","9","26.95","38.37","30.78","95.32","1","701.18"
"2022","11","7","10.35","582.59","14.68","3.17","10","99.65","40.87","38.59","34.1","5","1156.62"
"2004","29","7","14.18","2856.31","20.71","2.061","3","66.05","35.94","25.74","51.78","4","447.07"
"1997","15","10","34.97","665.03","13.08","3.08","0","60.85","34.32","46.18","86.93","5","810.22"
"2015","22","6","27.12","1507.26","25.35","1.998","6","47.84","35.06","9.97","85.91","5","229.29"
"2004","39","2","8.29","420.77","0.79","1.719","6","24.11","44.63","54.94","58.72","3","786.81"
"2010","17","6","1.25","638.68","1.36","1.68","1","75.22","40.37","29.87","40.37","4","828.19"
"2013","20","5","28.61","818.06","9.22","2.45","10","55.39","14.9","19.95","70.48","1","835.57"
"2001","10","10","23.16","1940.72","11.99","3.97","3","20.22","28.51","19.19","55.69","3","1286.65"
"2020","4","7","22.26","2670.49","13.28","2.37","9","36.6","21.95","56.41","68.72","5","988.98"
"2019","37","8","3.99","2288.12","14.82","1.58","8","41.68","40.31","85.51","98.12","1","359.51"
"1991","8","10","29.24","1521.34","17.27","0.765","0","95.14","31.53","41.74","89.47","2","308.66"
"2009","1","4","15.7","1802.84","10.96","2.65","1","81.99","49.79","19.86","91.22","2","393.67"
"2016","10","4","9.24","315.51","4.66","0.7020000000000001","5","68.67","25.96","62.63","38.17","1","349.96"
"2023","32","4","0.18","1968.38","15.96","0.99","10","10.52","22.68","99.18","76.24","1","379.13"
"1997","26","5","18.56","2108.88","11.07","2.31","9","12.46","10.82","53.82","94.41","5","1086.17"
"2018","9","7","24.26","2411.97","9.17","3.88","3","16.74","7.13","5.97","46.19","3","1759.53"
"2011","35","10","-1.24","1082.69","17.71","1.368","7","84.34","3.53","43.81","93.03","3","379.9"
"2021","16","4","33.43","388.87","13.1","1.494","8","57.29","10.68","53.57","33.69","1","421.29"
"2007","21","6","30.34","1408.18","27.02","2.007","2","16.81","36.09","93.75","44.14","1","246.37"
"2014","36","8","31.03","1377.47","17.43","2.817","3","10.01","36.22","14.25","62.07","2","1012.58"
"2014","2","10","24.42","1490.74","19.6","1.8","0","45.75","44.19","17.03","98.07","4","752.3"
"2007","34","10","7.45","955.91","5.67","0.78","9","38.19","5.35","67.61","33.09","3","211.92"
"2007","10","6","1.86","2347.13","15.66","0.558","9","63.53","26.38","10.22","56.33","2","217.47"
"1997","37","7","14.66","1099.83","27.33","1.521","5","24.96","44.24","2.18","48.1","1","426.5"
"2010","27","1","8.71","1275.27","6.94","1.49","2","85.51","12.43","92.33","44.07","5","238.44"
"2010","19","3","23.31","1699.03","13.71","0.83","10","34.48","17.74","65.28","84.32","3","278.34"
"2016","14","8","-0.47","1331.22","17","0.792","1","69.03","0.31","47.74","31.89","2","121.01"
"2021","20","4","33.53","952.21","27.98","3.222","2","23.24","11.2","83.74","98.97","1","1591.4"
"2001","9","1","28.56","1821.32","15.54","2.817","6","96.24","44.19","27.36","70.72","4","740.89"
"2004","3","7","11.92","2091.74","15.63","2.259","6","39.33","2.81","17.94","69.75","4","600"
"2015","12","4","23.97","2080.98","25.63","1.638","1","17.84","33.98","81","58.35","5","615.71"
"2018","23","5","29.43","924.45","4.39","3.17","5","47.45","8.28","1.11","49.13","4","556.96"
"2023","25","7","27.67","2788.74","22.24","1.881","4","63.72","23.6","67.12","59.84","1","327.65"
"2002","32","4","9.34","1032.3","14.15","2.48","4","64.01","37.6","49.72","75.04","1","1128.59"
"1994","37","7","26.06","2518.46","8.29","2.89","2","18.85","45.96","53.77","75.85","5","377.5"
"1991","40","5","-0.21","348.88","22.83","2.07","8","28.39","14.69","41.23","63.81","3","613.8"
"2014","8","1","16.08","405.73","4.51","3.528","4","57.71","21.71","69.67","53","2","1335.06"
"1994","21","5","-1.36","1101.16","11.9","2.1","4","85.23","32.76","47.13","58.12","3","236.65"
"2015","7","4","15.1","659.44","13.83","2.74","0","33.14","0.3","11.24","38.59","1","1215.87"
"2004","9","3","9.46","1803.35","1.06","1.7","1","79.18","28.53","83.2","85.28","3","218.87"
"2005","11","4","32.69","1387.98","6.08","2.97","0","55.31","21.83","61.65","66.47","4","1096.71"
"2010","2","2","31.28","2014.5","24.46","1.755","6","69.6","44.25","11.49","79.02","3","669.48"
"2003","13","10","31.67","1729.6","16.28","2.385","9","36.28","47.56","77.03","31.97","3","422.59"
"2019","1","7","18.13","968.39","25.26","2.097","7","26.57","49.09","77.13","81.22","3","744.7"
"2002","38","10","3.41","2766.9","16.2","1.575","4","61.54","35.45","96.08","42.84","1","206.63"
"2017","22","7","27.06","1933.01","6.91","1.38","2","47.11","25.38","38.56","49.75","1","243.09"
"1993","33","9","24.43","2386.45","12.73","3.75","10","54.82","16.61","84.88","60.42","1","971.43"
"2009","21","4","-3.49","830.22","11.56","2.89","5","32.74","14.04","77.14","34.12","5","364.53"
"2002","24","6","10.4","2688.7","14.69","3","4","61.76","39.75","74.73","82.89","5","1471.49"
"2019","39","10","-0.85","416.17","24.97","0.864","3","46.42","29.55","69.07","41.88","2","125.79"
"2014","27","3","15.03","1392.25","20.66","2.727","0","63.19","42.08","74.26","55.2","3","425.99"
"2023","38","5","6.89","404.77","13.4","2.475","7","29.15","17.24","15.93","58.42","2","279.29"
"1990","10","9","2.91","1948.44","6.38","1.54","8","63.13","20.67","4.22","86.41","3","490.29"
"2017","33","9","32.55","1518.09","14.75","3.35","6","69.82","49.77","27.39","33.67","5","1358.86"
"2008","8","8","17.76","2177.6","4.36","3.68","9","57.14","1.68","57.85","43.06","4","1567.39"
"1998","13","10","6.55","771.22","6.89","2.13","0","76.06","31.1","55.51","50.68","2","793.34"
"2022","37","5","-3.86","1958.5","7.23","1.04","8","21.93","23.32","52.22","79.22","4","432.2"
"1995","32","3","30.11","1216.81","26.02","2.979","10","85.92","12.84","62.17","74.59","4","511.42"
"1998","29","1","21.25","1853.54","9.97","1.97","9","25.32","39.54","9.66","84.49","2","854.67"
"2012","4","5","-0.88","2432.7","9.79","0.75","9","61.29","46.88","39.53","62.84","2","197.76"
"1997","4","7","5.16","2325.27","21.93","0.5040000000000001","9","89.68","39.47","6.23","81.74","3","100.18"
"2023","13","1","33.86","1782.62","12.75","1.84","2","87.34","18.49","75.59","62.98","4","658.75"
"2006","36","10","33.55","697.33","6.91","2.68","0","49.73","43.04","76.13","30.18","2","339.82"
"2008","29","2","20.35","2420.05","0.59","3.57","4","21.12","40.44","47.78","86.42","2","871.41"
"1994","25","10","32.83","371.54","22.85","2.241","5","89.77","13.4","84.9","92.23","4","802.43"
"2011","6","8","18.06","912.32","3.33","3.5","3","20.59","29.75","61.5","92.38","3","1024.2"
"2014","2","7","26.49","2455.91","17.42","2.367","8","23.98","24.91","30.22","59.42","1","418.94"
"2024","24","1","24.75","1666.15","19.01","1.377","10","62.25","30.28","46.92","93.08","5","232.83"
"2004","13","10","3.26","1825.52","3.86","2.64","5","78.02","21.65","91.83","87.89","5","1234.45"
"2023","39","7","7.02","2622.97","24.78","2.16","2","55.1","11.05","71.53","36.17","1","732.23"
"2001","9","3","10.73","2249.64","20.13","3.177","10","40.67","30.36","91.9","90.58","3","1007.36"
"1994","26","1","29.75","1562","17.62","1.26","5","68.32","3.11","22.49","54.32","2","595.82"
"1997","21","1","23.31","1312.63","27.5","1.7009999999999998","0","17.02","25.01","83.44","77.64","4","686.56"
"2023","15","10","15.35","1322.1","2.68","2.8","5","79.44","11.48","78.52","43.96","3","1244.94"
"2024","27","5","30.36","1399.66","12.34","3.3","6","84.51","3.97","2.82","98.82","5","1361.77"
"2012","30","10","8.61","724.46","11.57","0.81","2","89.08","14.87","39.15","71.58","3","83.62"
